Ticker,Date,Open,High,Low,Close,Volume,AVR,CAR_10,Vol_Spike,Return_Z,Candle_Direction,Body_Size,Upper_Shadow,Lower_Shadow,Price_Momentum_5,Volume_Surge,IF_Flag_Enhanced,IF_Score_Enhanced,Signal_Quality,RF_Prediction,RF_Probability_Buy,RF_Probability_Sell,Final_Signal
SONACOMS,2023-02-28,446.87,452.65,436.1,439.04,381050,0.2762,0.032005,0,-0.5562,-1,0.017522,0.013165,0.006696,-0.036653,0.6841,0,0.1862,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-03-01,442.22,453.63,440.9,450.65,448273,0.3272,0.029878,0,1.2268,1,0.019063,0.006613,0.002929,-0.004331,0.7968,0,0.1564,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-03-02,451.87,457.11,442.17,444.03,743257,0.5432,0.017937,0,-0.6302,-1,0.01735,0.011801,0.004189,-0.030635,1.3348,0,0.186,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-03-03,448.49,455.3,444.82,446.63,525246,0.385,0.005687,0,0.324,-1,0.004147,0.015248,0.004053,-0.03876,0.9571,0,0.18,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-03-06,446.63,453.19,445.06,448.64,538671,0.3953,-0.022226,0,0.2562,1,0.0045,0.010142,0.003499,0.036554,1.0216,0,0.1739,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-03-08,447.41,454.32,442.12,443.59,645986,0.475,-0.023678,0,-0.4861,-1,0.008538,0.015577,0.003314,0.02184,1.1132,0,0.1897,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-03-09,444.82,450.65,436.05,437.47,704236,0.5197,-0.025002,0,-0.6083,-1,0.016524,0.013327,0.003246,0.018531,1.1152,0,0.1913,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-03-10,436.88,445.01,425.27,427.47,1205611,0.8932,-0.054934,0,-1.0373,-1,0.021539,0.019019,0.005147,0.024242,1.6653,0,0.1486,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-03-13,405.87,416.31,395.14,397.98,13269484,9.493,-0.105197,0,-3.1348,-1,0.01944,0.026232,0.007136,0.013383,4.0545,1,-0.0824,0,0,0.08,0.02,LOW_QUALITY_FLAG
SONACOMS,2023-03-14,407.1,427.57,401.8,422.67,12142642,8.425,-0.026546,1,2.8573,1,0.038246,0.011593,0.012539,-0.010833,2.1708,1,-0.0887,1,1,0.9833,0.0,HIGH_QUALITY_BUY
SONACOMS,2023-03-15,430.12,432.96,409.54,414.49,5340688,3.6689,-0.03319,1,-0.835,-1,0.036339,0.006852,0.011942,-0.005488,0.8176,1,-0.0153,0,0,0.06,0.08,LOW_QUALITY_FLAG
SONACOMS,2023-03-16,414.49,415.42,398.57,405.28,3489547,2.3799,-0.074154,1,-0.9589,-1,0.02222,0.002295,0.016556,0.029721,0.4922,1,-0.0108,0,0,0.0067,0.2767,LOW_QUALITY_FLAG
