ticker,suitability_score,grade,verdict,years_of_data,avg_close,annual_volatility,avg_volume,avr_spike_rate_pct,data_score,volume_score,volatility_score,noise_score,volume_comment,volatility_comment,noise_comment
TITAGARH,74.5,B,Good fit — expect reliable signals,9.8,356.9,49.46,1080773,7.65,98.1,100.0,0,100,Ideal liquidity range for detection,Too volatile — too much noise to isolate insider patterns,Clean signal rate (7.6%)
TEXRAIL,74.5,B,Good fit — expect reliable signals,9.8,84.83,50.31,1934361,7.97,98.1,100.0,0,100,Ideal liquidity range for detection,Too volatile — too much noise to isolate insider patterns,Clean signal rate (8.0%)
SKIPPER,74.5,B,Good fit — expect reliable signals,9.8,190.33,54.76,372992,9.55,98.0,100.0,0,100,Ideal liquidity range for detection,Too volatile — too much noise to isolate insider patterns,Clean signal rate (9.6%)
MUTHOOTFIN,74.5,B,Good fit — expect reliable signals,9.8,1191.53,36.52,1025787,4.86,98.1,100.0,0,100,Ideal liquidity range for detection,Too volatile — too much noise to isolate insider patterns,Clean signal rate (4.9%)
POONAWALLA,74.5,B,Good fit — expect reliable signals,9.8,225.84,46.59,1747020,8.74,98.1,100.0,0,100,Ideal liquidity range for detection,Too volatile — too much noise to isolate insider patterns,Clean signal rate (8.7%)
ENDURANCE,73.8,B,Good fit — expect reliable signals,9.5,1492.81,33.37,132017,6.26,95.0,100.0,0,100,Ideal liquidity range for detection,Too volatile — too much noise to isolate insider patterns,Clean signal rate (6.3%)
LAURUSLABS,73.4,B,Good fit — expect reliable signals,9.3,376.35,34.74,2214554,7.01,93.4,100.0,0,100,Ideal liquidity range for detection,Too volatile — too much noise to isolate insider patterns,Clean signal rate (7.0%)
RITES,69.6,B,Good fit — expect reliable signals,7.8,163.32,40.09,1955737,8.07,78.2,100.0,0,100,Ideal liquidity range for detection,Too volatile — too much noise to isolate insider patterns,Clean signal rate (8.1%)
SOLARA,69.6,B,Good fit — expect reliable signals,7.8,636.21,52.36,153066,8.0,78.4,100.0,0,100,Ideal liquidity range for detection,Too volatile — too much noise to isolate insider patterns,Clean signal rate (8.0%)
IRCON,65.7,B,Good fit — expect reliable signals,7.6,93.3,45.53,6790369,10.36,75.9,89.3,0,100,Very liquid — insiders can hide trades easily,Too volatile — too much noise to isolate insider patterns,Clean signal rate (10.4%)
SONACOMS,62.3,C,Moderate fit — signals present but some noise expected,4.9,548.95,38.1,2219131,4.52,49.2,100.0,0,100,Ideal liquidity range for detection,Too volatile — too much noise to isolate insider patterns,Clean signal rate (4.5%)
PARAS,61.6,C,Moderate fit — signals present but some noise expected,4.6,731.59,55.7,824514,9.48,46.5,100.0,0,100,Ideal liquidity range for detection,Too volatile — too much noise to isolate insider patterns,Clean signal rate (9.5%)
DATAPATTNS,61.1,C,Moderate fit — signals present but some noise expected,4.4,2082.47,50.24,532179,7.72,44.2,100.0,0,100,Ideal liquidity range for detection,Too volatile — too much noise to isolate insider patterns,Clean signal rate (7.7%)
FIVESTAR,58.8,C,Moderate fit — signals present but some noise expected,3.5,645.38,40.21,1003423,7.42,35.3,100.0,0,100,Ideal liquidity range for detection,Too volatile — too much noise to isolate insider patterns,Clean signal rate (7.4%)
FEDFINA,56.3,C,Moderate fit — signals present but some noise expected,2.5,124.98,34.79,925320,6.76,25.2,100.0,0,100,Ideal liquidity range for detection,Too volatile — too much noise to isolate insider patterns,Clean signal rate (6.8%)
INNOVACAP,56.1,C,Moderate fit — signals present but some noise expected,2.4,751.88,40.46,133966,2.28,24.4,100.0,0,100,Ideal liquidity range for detection,Too volatile — too much noise to isolate insider patterns,Clean signal rate (2.3%)
PRIVISCL,55.7,C,Moderate fit — signals present but some noise expected,9.8,1066.92,44.0,46782,8.02,98.0,37.4,0,100,Too illiquid — random noise may dominate,Too volatile — too much noise to isolate insider patterns,Clean signal rate (8.0%)
AVANTEL,54.7,C,Moderate fit — signals present but some noise expected,1.9,152.86,52.17,1963587,10.57,18.8,100.0,0,100,Ideal liquidity range for detection,Too volatile — too much noise to isolate insider patterns,Clean signal rate (10.6%)
RVNL,53.2,C,Moderate fit — signals present but some noise expected,7.1,153.75,51.11,13016313,7.01,70.7,51.9,0,100,Very liquid — insiders can hide trades easily,Too volatile — too much noise to isolate insider patterns,Clean signal rate (7.0%)
MSUMI,53.0,C,Moderate fit — signals present but some noise expected,4.2,39.59,29.33,9119214,5.04,41.7,75.3,0,100,Very liquid — insiders can hide trades easily,Too volatile — too much noise to isolate insider patterns,Clean signal rate (5.0%)
RTNPOWER,51.8,C,Moderate fit — signals present but some noise expected,9.8,6.43,56.23,17602232,10.04,98.1,24.4,0,100,Very liquid — insiders can hide trades easily,Too volatile — too much noise to isolate insider patterns,Clean signal rate (10.0%)
PIGL,45.4,D,Poor fit — many false signals likely,8.0,68.11,52.51,22755,10.45,79.7,18.2,0,100,Too illiquid — random noise may dominate,Too volatile — too much noise to isolate insider patterns,Clean signal rate (10.5%)
